md;incl;azi
4.11;0;0
14.11;0.3;70.4
24.11;0.1;211.6
34.11;0;346.4
44.11;0.2;1.2
54.11;0.1;338.5
64.11;0.1;353.2
74.11;0.1;269.3
84.11;0.5;30.7
94.11;0.5;302.3
104.11;0.7;312.5
114.11;0.9;309.7
124.11;1.4;309.4
134.11;1.9;315
144.1;2.2;320.9
154.09;2.4;322.2
164.08;3.2;320.8
174.06;4.2;322.2
184.03;5;324.2
193.98;5.8;323.4
203.92;6.3;322.5
213.86;7.2;324.5
223.77;7.6;322.2
233.68;7.7;319.7
234.2388;7.4893;3.0645
234.7388;7.4902;34.3018
235.2388;7.4908;23.7887
235.7388;7.491;41.9727
236.2388;7.4911;21.1474
236.7388;7.5104;78.8654
237.2388;7.533;70.0667
237.7388;7.5435;27.0437
238.2388;7.5439;334.1114
238.7388;7.5663;321.1013
239.2388;7.5335;304.594
239.7388;7.5909;317.3969
240.2388;7.567;347.903
240.7388;7.577;281.7643
241.2388;7.5911;154.3412
241.7388;7.5915;134.4616
242.2388;7.6038;112.4789
242.7388;7.6405;120.53
243.2388;7.6265;95.4001
243.7388;7.6573;20.1889
244.2388;7.6779;10.9608
244.7388;7.6791;15.8587
245.2388;7.8001;319.8428
245.7388;7.8705;296.9643
246.2388;7.884;67.9305
246.7388;7.9422;110.829
247.2388;8.0278;191.5661
247.7388;8.0856;141.8964
248.2388;8.1035;110.9367
248.7388;8.1001;99.7724
249.2388;8.1257;8.4978
249.7388;8.1791;332.7907
250.2388;8.2677;323.2599
250.7388;8.2638;321.5895
251.2388;8.2401;320.3231
251.7388;8.3046;319.0599
252.2388;8.3276;318.7879
252.7388;8.3751;318.5387
253.2388;8.4151;318.159
253.7388;8.4743;318.1417
254.2388;8.7681;318.7473
254.7388;8.7676;318.5849
255.2388;8.7513;318.4207
255.7388;8.9117;318.838
256.2388;8.792;318.7393
256.7388;8.8682;318.6935
257.2388;8.845;318.8472
257.7388;8.8084;319.2357
258.2388;8.7925;319.0737
258.7388;8.817;319.1015
259.2388;8.8443;319.1262
259.7388;8.8869;318.9596
260.2388;8.9364;318.4772
260.7388;8.9019;318.3709
261.2388;8.7997;318.389
261.7388;8.7999;318.1787
262.2388;8.8084;317.9816
262.7388;8.8297;317.9594
263.2388;8.8041;317.809
263.7388;8.8236;317.8047
264.2388;8.8244;317.6903
264.7388;8.8316;317.6465
265.2388;8.8585;317.8607
265.7388;8.8542;317.674
266.2388;8.8819;317.5669
266.7388;8.8805;317.5005
267.2388;8.8515;317.3535
267.7388;8.8683;317.548
268.2388;8.8901;317.4207
268.7388;8.9033;317.3064
269.2388;8.9396;317.4015
269.7388;8.8978;317.3806
270.2388;8.9421;317.366
270.7388;8.9389;317.4739
271.2388;8.9403;317.3825
271.7388;8.9935;317.2122
272.2388;8.9949;317.3055
272.7388;8.9719;317.269
273.2388;8.9931;317.2109
273.7388;8.9844;317.0833
274.2388;8.9927;317.2089
274.7388;8.9926;317.0276
275.2388;8.9934;317.3076
275.7388;9.0007;317.2448
276.2388;9.0506;317.3909
276.7388;9.0513;317.4103
277.2388;9.0666;317.0009
277.7388;9.0667;316.7616
278.2388;9.0793;316.8055
278.7388;9.104;316.6845
279.2388;9.1312;316.6763
279.7388;9.1347;316.7714
280.2388;9.1219;316.7984
280.7388;9.1118;316.6705
281.2388;9.1044;316.8227
281.7388;9.1064;316.717
282.2388;9.1066;316.6282
282.7388;9.1233;316.5264
283.2388;9.093;316.6139
283.7388;9.0939;316.6153
284.2388;9.0958;316.5296
284.7388;9.1125;316.5336
285.2388;9.0896;316.5708
285.7388;9.1125;316.6443
286.2388;9.0738;316.3689
286.7388;9.1526;316.8246
287.2388;9.1744;316.9119
287.7388;9.0973;316.7978
288.2388;9.1327;316.7554
288.7388;9.1075;316.8778
289.2388;9.0968;316.729
289.7388;9.1297;316.8001
290.2388;9.1415;316.7891
290.7388;9.1351;316.9859
291.2388;9.1276;317.0551
291.7388;9.1283;316.8039
292.2388;9.1116;316.8897
292.7388;9.1066;316.8373
293.2388;9.1222;316.6997
293.7388;9.1146;316.6011
294.2388;9.1026;316.6871
294.7388;9.0928;316.5267
295.2388;9.1292;316.5526
295.7388;9.1189;316.4822
296.2388;9.1084;316.524
296.7388;9.1049;316.6187
297.2388;9.1314;316.5738
297.7388;9.1516;316.6438
298.2388;9.1062;316.4392
298.7388;9.1102;316.7051
299.2388;9.1141;316.5112
299.7388;9.0992;316.2771
300.2388;9.0625;316.2398
300.7388;9.1282;316.2527
301.2388;9.2314;316.4888
301.7388;9.2119;316.3844
302.2388;9.2134;316.2285
302.7388;9.1971;316.0822
303.2388;9.1869;316.0584
303.7388;9.2056;316.0834
304.2388;9.1941;316.0322
304.7388;9.2196;316.1376
305.2388;9.2524;316.0983
305.7388;9.2518;315.9104
306.2388;9.2469;315.9778
306.7388;9.2007;315.6859
307.2388;9.1674;315.5461
307.7388;9.1659;315.6902
308.2388;9.1518;315.6129
308.7388;9.0969;315.584
309.2388;9.0765;315.7901
309.7388;9.1524;315.0627
310.2388;9.0268;315.0343
310.7388;9.0578;314.8663
311.2388;9.0408;314.5013
311.7388;8.9979;314.4899
312.2388;8.954;314.4699
312.7388;8.9349;314.2253
313.2388;8.9198;314.3488
313.7388;8.8683;314.2073
314.2388;8.809;314.5585
314.7388;8.7873;314.7815
315.2388;8.7239;314.7588
315.7388;8.7069;314.6339
316.2388;8.6922;314.6618
316.7388;8.6181;314.0521
317.2388;8.5557;313.7673
317.7388;8.533;313.8409
318.2388;8.4626;313.4806
318.7388;8.3255;313.0899
319.2388;8.3419;313.3528
319.7388;8.3647;313.6665
320.2388;8.4101;313.5106
320.7388;8.3787;313.3986
321.2388;8.3966;313.2834
321.7388;8.4544;313.6059
322.2388;8.4795;313.7505
322.7388;8.3586;313.3667
323.2388;8.3161;313.0317
323.7388;8.2739;313.1374
324.2388;8.2218;313.2877
324.7388;8.2181;313.7524
325.2388;8.1806;313.8311
325.7388;8.1897;313.934
326.2388;8.2153;314.3418
326.7388;8.2463;314.2886
327.2388;8.1529;314.0142
327.7388;8.1808;313.9584
328.2388;8.0659;313.3925
328.7388;8.077;313.5721
329.2388;8.0664;313.4652
329.7388;8.0533;313.6775
330.2388;8.0493;313.4879
330.7388;8.0521;313.73
331.2388;8.0544;313.7499
331.7388;8.0567;313.6732
332.2388;8.0547;313.6636
332.7388;8.0608;313.9265
333.2388;8.0093;313.8806
333.7388;7.9802;313.7321
334.2388;7.9679;313.8365
334.7388;8.0061;313.5962
335.2388;7.9687;313.7667
335.7388;8.0037;313.9556
336.2388;7.9938;313.623
336.7388;7.9914;313.5864
337.2388;7.9931;313.6479
337.7388;7.9791;313.6634
338.2388;7.9915;313.3194
338.7388;7.9976;313.3571
339.2388;7.9989;313.3416
339.7388;7.995;313.23
340.2388;7.9501;313.4542
340.7388;7.9548;313.3929
341.2388;7.9525;313.6466
341.7388;7.9507;313.4149
342.2388;7.9351;313.4438
342.7388;7.9293;313.4511
343.2388;7.9318;313.3254
343.7388;7.9259;313.4603
344.2388;7.9265;313.3895
344.7388;7.9321;313.2604
345.2388;7.9306;313.5274
345.7388;7.9434;313.3946
346.2388;7.9461;313.5103
346.7388;7.9359;313.5777
347.2388;7.9194;313.2623
347.7388;7.9207;313.3362
348.2388;7.9273;313.3356
348.7388;7.9354;313.196
